type,theme,niveau,question,options_json,answer_index,explication,lesson_category_slug,lesson_titre
qcm,Articles,A2,Je voudrais ___ eau minerale.,"[""de"", ""du"", ""de la"", ""des""]",2,Eau est feminin singulier: de la.,grammaire,Articles partitifs
qcm,Articles,A2,Je ne bois pas ___ cafe le soir.,"[""du"", ""de"", ""des"", ""le""]",1,"Apres negation, on emploie souvent de.",grammaire,Articles partitifs
qcm,Articles,A2,Complete: Je prends ___ train de 8h.,"[""les"", ""du"", ""le"", ""des""]",2,Nom identifie: article defini.,grammaire,Articles partitifs
qcm,Articles,A2,Complete: Elle achete ___ robe bleue.,"[""de"", ""de l'"", ""une"", ""des""]",2,Introduction d'un nom feminin singulier.,grammaire,Articles partitifs
qcm,Articles,A2,Complete: Nous buvons ___ eau.,"[""une"", ""le"", ""de l'"", ""du""]",2,Partitif devant voyelle.,grammaire,Articles partitifs
qcm,Articles,A2,Complete: Je ne mange pas ___ pain.,"[""la"", ""de"", ""de l'"", ""du""]",1,Negation + partitif -> de.,grammaire,Articles partitifs
qcm,Articles,A2,Complete: Il veut ___ stylo rouge.,"[""la"", ""des"", ""un"", ""de l'""]",2,Nom masculin singulier indetermine.,grammaire,Articles partitifs
qcm,Articles,A2,Complete: Ils prennent ___ pommes.,"[""des"", ""le"", ""la"", ""un""]",0,Nom pluriel introduit.,grammaire,Articles partitifs
qcm,Articles,A2,Complete: J'aime ___ musique classique.,"[""la"", ""le"", ""les"", ""de""]",0,Generalite avec article defini.,grammaire,Articles partitifs
qcm,Articles,A2,Complete: Elle prepare ___ soupe.,"[""la"", ""de"", ""de la"", ""une""]",2,Partitif feminin singulier.,grammaire,Articles partitifs
qcm,Articles,A2,Complete: Tu veux ___ cafe ?,"[""de l'"", ""des"", ""une"", ""du""]",3,Partitif masculin singulier.,grammaire,Articles partitifs
qcm,Articles,A2,Complete: Nous observons ___ etoiles.,"[""une"", ""les"", ""de la"", ""la""]",1,Element identifie au pluriel.,grammaire,Articles partitifs
qcm,Articles,A2,Je voudrais ___ eau minerale.,"[""de"", ""du"", ""de la"", ""des""]",2,Eau est feminin singulier: de la. Variante supplementaire d'entrainement.,grammaire,Articles partitifs
qcm,Articles,A2,Je ne bois pas ___ cafe le soir.,"[""du"", ""de"", ""des"", ""le""]",1,"Apres negation, on emploie souvent de. Variante supplementaire d'entrainement.",grammaire,Articles partitifs
qcm,Articles,A2,Complete: Je prends ___ train de 8h.,"[""les"", ""du"", ""le"", ""des""]",2,Nom identifie: article defini. Variante supplementaire d'entrainement.,grammaire,Articles partitifs
qcm,Articles,A2,Complete: Elle achete ___ robe bleue.,"[""de"", ""de l'"", ""une"", ""des""]",2,Introduction d'un nom feminin singulier. Variante supplementaire d'entrainement.,grammaire,Articles partitifs
qcm,Articles,A2,Complete: Nous buvons ___ eau.,"[""une"", ""le"", ""de l'"", ""du""]",2,Partitif devant voyelle. Variante supplementaire d'entrainement.,grammaire,Articles partitifs
qcm,Articles,A2,Complete: Je ne mange pas ___ pain.,"[""la"", ""de"", ""de l'"", ""du""]",1,Negation + partitif -> de. Variante supplementaire d'entrainement.,grammaire,Articles partitifs
qcm,Articles,A2,Complete: Il veut ___ stylo rouge.,"[""la"", ""des"", ""un"", ""de l'""]",2,Nom masculin singulier indetermine. Variante supplementaire d'entrainement.,grammaire,Articles partitifs
qcm,Articles,A2,Complete: Ils prennent ___ pommes.,"[""des"", ""le"", ""la"", ""un""]",0,Nom pluriel introduit. Variante supplementaire d'entrainement.,grammaire,Articles partitifs
qcm,Articles,A2,Complete: J'aime ___ musique classique.,"[""la"", ""le"", ""les"", ""de""]",0,Generalite avec article defini. Variante supplementaire d'entrainement.,grammaire,Articles partitifs
qcm,Articles,A2,Complete: Elle prepare ___ soupe.,"[""la"", ""de"", ""de la"", ""une""]",2,Partitif feminin singulier. Variante supplementaire d'entrainement.,grammaire,Articles partitifs
qcm,Articles,A2,Complete: Tu veux ___ cafe ?,"[""de l'"", ""des"", ""une"", ""du""]",3,Partitif masculin singulier. Variante supplementaire d'entrainement.,grammaire,Articles partitifs
qcm,Articles,A2,Complete: Nous observons ___ etoiles.,"[""une"", ""les"", ""de la"", ""la""]",1,Element identifie au pluriel. Variante supplementaire d'entrainement.,grammaire,Articles partitifs
qcm,Articles,A2,Je voudrais ___ eau minerale.,"[""de"", ""du"", ""de la"", ""des""]",2,Eau est feminin singulier: de la. Variante supplementaire d'entrainement.,grammaire,Articles partitifs
qcm,Articles,A2,Je ne bois pas ___ cafe le soir.,"[""du"", ""de"", ""des"", ""le""]",1,"Apres negation, on emploie souvent de. Variante supplementaire d'entrainement.",grammaire,Articles partitifs
qcm,Articles,A2,Complete: Je prends ___ train de 8h.,"[""les"", ""du"", ""le"", ""des""]",2,Nom identifie: article defini. Variante supplementaire d'entrainement.,grammaire,Articles partitifs
qcm,Articles,A2,Complete: Elle achete ___ robe bleue.,"[""de"", ""de l'"", ""une"", ""des""]",2,Introduction d'un nom feminin singulier. Variante supplementaire d'entrainement.,grammaire,Articles partitifs
qcm,Articles,A2,Complete: Nous buvons ___ eau.,"[""une"", ""le"", ""de l'"", ""du""]",2,Partitif devant voyelle. Variante supplementaire d'entrainement.,grammaire,Articles partitifs
qcm,Articles,A2,Complete: Je ne mange pas ___ pain.,"[""la"", ""de"", ""de l'"", ""du""]",1,Negation + partitif -> de. Variante supplementaire d'entrainement.,grammaire,Articles partitifs
qcm,Articles,A2,Complete: Il veut ___ stylo rouge.,"[""la"", ""des"", ""un"", ""de l'""]",2,Nom masculin singulier indetermine. Variante supplementaire d'entrainement.,grammaire,Articles partitifs
qcm,Articles,A2,Complete: Ils prennent ___ pommes.,"[""des"", ""le"", ""la"", ""un""]",0,Nom pluriel introduit. Variante supplementaire d'entrainement.,grammaire,Articles partitifs
qcm,Articles,A2,Complete: J'aime ___ musique classique.,"[""la"", ""le"", ""les"", ""de""]",0,Generalite avec article defini. Variante supplementaire d'entrainement.,grammaire,Articles partitifs
qcm,Articles,A2,Complete: Elle prepare ___ soupe.,"[""la"", ""de"", ""de la"", ""une""]",2,Partitif feminin singulier. Variante supplementaire d'entrainement.,grammaire,Articles partitifs
qcm,Articles,A2,Complete: Tu veux ___ cafe ?,"[""de l'"", ""des"", ""une"", ""du""]",3,Partitif masculin singulier. Variante supplementaire d'entrainement.,grammaire,Articles partitifs
qcm,Articles,A2,Complete: Nous observons ___ etoiles.,"[""une"", ""les"", ""de la"", ""la""]",1,Element identifie au pluriel. Variante supplementaire d'entrainement.,grammaire,Articles partitifs
qcm,Articles,A2,Je voudrais ___ eau minerale.,"[""de"", ""du"", ""de la"", ""des""]",2,Eau est feminin singulier: de la. Variante supplementaire d'entrainement.,grammaire,Articles partitifs
qcm,Articles,A2,Je ne bois pas ___ cafe le soir.,"[""du"", ""de"", ""des"", ""le""]",1,"Apres negation, on emploie souvent de. Variante supplementaire d'entrainement.",grammaire,Articles partitifs
qcm,Articles,A2,Complete: Je prends ___ train de 8h.,"[""les"", ""du"", ""le"", ""des""]",2,Nom identifie: article defini. Variante supplementaire d'entrainement.,grammaire,Articles partitifs
qcm,Articles,A2,Complete: Elle achete ___ robe bleue.,"[""de"", ""de l'"", ""une"", ""des""]",2,Introduction d'un nom feminin singulier. Variante supplementaire d'entrainement.,grammaire,Articles partitifs
qcm,Articles,A2,Complete: Nous buvons ___ eau.,"[""une"", ""le"", ""de l'"", ""du""]",2,Partitif devant voyelle. Variante supplementaire d'entrainement.,grammaire,Articles partitifs
qcm,Articles,A2,Complete: Je ne mange pas ___ pain.,"[""la"", ""de"", ""de l'"", ""du""]",1,Negation + partitif -> de. Variante supplementaire d'entrainement.,grammaire,Articles partitifs
qcm,Articles,A2,Complete: Il veut ___ stylo rouge.,"[""la"", ""des"", ""un"", ""de l'""]",2,Nom masculin singulier indetermine. Variante supplementaire d'entrainement.,grammaire,Articles partitifs
qcm,Articles,A2,Complete: Ils prennent ___ pommes.,"[""des"", ""le"", ""la"", ""un""]",0,Nom pluriel introduit. Variante supplementaire d'entrainement.,grammaire,Articles partitifs
qcm,Articles,A2,Complete: J'aime ___ musique classique.,"[""la"", ""le"", ""les"", ""de""]",0,Generalite avec article defini. Variante supplementaire d'entrainement.,grammaire,Articles partitifs
