passage_titre,ordre,niveau,difficulte,competence,question,options_json,answer_index,explication
Affiche municipale: bibliotheque de quartier,1,A2,facile,information explicite,A partir de quelle date les nouveaux horaires commencent-ils ?,"[""Le 3 mars"", ""Le 13 mars"", ""Le 30 mars"", ""Le 1er avril""]",0,Le texte indique clairement: a partir du 3 mars.
Affiche municipale: bibliotheque de quartier,2,A2,facile,information explicite,Quel jour la bibliotheque ferme-t-elle a 18h ?,"[""Le mardi"", ""Le vendredi"", ""Le samedi"", ""Le mercredi""]",1,"La phrase dit: Le vendredi, elle fermera a 18h."
Affiche municipale: bibliotheque de quartier,3,A2,facile,repere temporel,A quelle heure commence l'atelier de conversation ?,"[""18h"", ""18h15"", ""18h30"", ""19h""]",2,L'atelier est propose chaque jeudi a 18h30.
Affiche municipale: bibliotheque de quartier,4,A2,moyen,selection d'information,Quel document n'est PAS demande pour l'inscription gratuite ?,"[""Une piece d'identite"", ""Un justificatif de domicile"", ""Une photo d'identite"", ""Un justificatif recent""]",2,Le texte ne mentionne pas de photo d'identite.
Affiche municipale: bibliotheque de quartier,5,A2,moyen,inference simple,Pourquoi faut-il reserver l'atelier a l'avance ?,"[""Parce qu'il est payant"", ""Parce que les places sont limitees"", ""Parce qu'il est reserve aux enfants"", ""Parce qu'il a lieu une fois par mois""]",1,Le texte precise: places limitees a 20 participants.
Affiche municipale: bibliotheque de quartier,6,A2,moyen,comprehension globale,L'objectif principal de ce document est de...,"[""presenter un roman francais"", ""annoncer des changements de service"", ""recruter des bibliothecaires"", ""critiquer les horaires actuels""]",1,Il s'agit d'une annonce pratique avec horaires et conditions.
Affiche municipale: bibliotheque de quartier,7,A2,moyen,detail pratique,Comment peut-on reserver l'atelier ?,"[""Uniquement en ligne"", ""Seulement par courriel"", ""A l'accueil ou par telephone"", ""Pendant l'atelier seulement""]",2,Le texte donne deux moyens: accueil ou telephone.
Affiche municipale: bibliotheque de quartier,8,A2,difficile,comparaison d'horaires,Quel jour offre la plus grande amplitude horaire ?,"[""Lundi"", ""Mardi"", ""Vendredi"", ""Samedi""]",0,"Lundi (et mercredi) couvre 10h-19h, soit 9h, plus long que mardi (8h) et samedi (4h)."
Courriel du service universitaire,1,B1,facile,information explicite,Quel mode de depot devient obligatoire ?,"[""Le depot papier"", ""Le depot sur la plateforme numerique"", ""Le depot par courriel"", ""Le depot en salle B204""]",1,Le texte impose la plateforme numerique.
Courriel du service universitaire,2,B1,moyen,condition,Dans quel cas le depot par courriel reste-t-il possible ?,"[""Quand l'etudiant est en retard"", ""Quand le professeur est absent"", ""En cas de panne officielle de la plateforme"", ""Quand le document depasse 10 pages""]",2,Exception prevue: panne officielle.
Courriel du service universitaire,3,B1,moyen,reperage de regle,Quel format de fichier est exige ?,"[""DOCX"", ""TXT"", ""PDF"", ""JPEG""]",2,La consigne precise format PDF exclusivement.
Courriel du service universitaire,4,B1,moyen,consequence,"Sans confirmation de depot, le travail est...","[""corrige avec penalite"", ""considere comme non remis"", ""renvoye automatiquement"", ""accepte avec retard""]",1,Formulation explicite du texte.
Courriel du service universitaire,5,B1,moyen,comprehension detaillee,L'atelier est surtout conseille a...,"[""tous les enseignants"", ""les etudiants de master"", ""les etudiants de premiere annee"", ""les etudiants en echange""]",2,Le message le dit clairement.
Courriel du service universitaire,6,B1,difficile,intention de l'auteur,Le ton du courriel est principalement...,"[""humoristique"", ""publicitaire"", ""normatif et informatif"", ""personnel et intime""]",2,Message administratif avec consignes obligatoires.
Courriel du service universitaire,7,B1,difficile,inference pratique,Pourquoi l'universite propose-t-elle un atelier ?,"[""Pour remplacer la plateforme"", ""Pour aider a appliquer la nouvelle procedure"", ""Pour noter les travaux en avance"", ""Pour distribuer du materiel""]",1,L'atelier d'accompagnement vise a reduire les erreurs.
Courriel du service universitaire,8,B1,difficile,chronologie,Quand la nouvelle regle s'applique-t-elle ?,"[""Immediatement"", ""Mardi prochain"", ""A partir du semestre prochain"", ""Apres l'atelier""]",2,Indication temporelle en debut de message.
Article: espaces de coworking etudiants,1,B1,facile,idee principale,Quel est le sujet principal de l'article ?,"[""La fermeture des bibliotheques"", ""Le developpement des coworkings etudiants"", ""Les loyers en centre-ville"", ""La reforme des examens""]",1,L'article traite des espaces de coworking pour etudiants.
Article: espaces de coworking etudiants,2,B1,moyen,information chiffree,Quel pourcentage d'utilisateurs dit mieux organiser son temps ?,"[""41%"", ""58%"", ""68%"", ""86%""]",2,L'article mentionne 68%.
Article: espaces de coworking etudiants,3,B1,moyen,information chiffree,Quel probleme est signale par 41% des utilisateurs ?,"[""Le manque d'ordinateurs"", ""Le bruit en periode d'examens"", ""L'absence de chauffage"", ""Le prix d'entree""]",1,Le texte associe 41% a la question du bruit.
Article: espaces de coworking etudiants,4,B1,moyen,solution proposee,Comment les gestionnaires reagissent-ils au probleme de bruit ?,"[""Ils ferment les espaces pendant les examens"", ""Ils imposent le teletravail"", ""Ils creent des zones avec des regles differentes"", ""Ils interdisent les etudiants de premiere annee""]",2,Zones silencieuses et zones de groupe.
Article: espaces de coworking etudiants,5,B1,difficile,opinions opposees,Quel argument utilisent les critiques du dispositif ?,"[""Il est trop populaire"", ""Il remplace les cours en presentiel"", ""Il duplique des services deja existants"", ""Il ne fonctionne qu'en ete""]",2,Ils estiment que cela double les services des bibliotheques.
Article: espaces de coworking etudiants,6,B1,difficile,lexique en contexte,"Dans ce texte, 'rompre l'isolement' signifie surtout...","[""annuler les examens"", ""eviter que des etudiants restent seuls"", ""fermer les espaces collectifs"", ""changer de ville""]",1,L'expression renvoie au lien social et au travail collectif.
Article: espaces de coworking etudiants,7,B1,difficile,position de l'auteur,L'auteur du texte semble...,"[""prendre une position extremement favorable"", ""rejeter completement le projet"", ""presenter des avantages et des limites"", ""ignorer les donnees""]",2,Le texte reste nuance en montrant les deux points de vue.
Article: espaces de coworking etudiants,8,B1,difficile,organisation du texte,La structure generale de l'article est...,"[""probleme -> donnees -> debat"", ""debat -> recette -> conclusion"", ""fiction -> dialogue -> morale"", ""consigne -> exercice -> correction""]",0,"Introduction du dispositif, chiffres, puis debat final."
Tribune: apprentissage en ligne et autonomie,1,B2,facile,these,Quelle est la position generale du texte ?,"[""Le distanciel est inutile"", ""Le distanciel est parfait dans tous les cas"", ""Le distanciel est utile mais doit etre encadre"", ""Le presentiel doit disparaitre""]",2,"Le texte defend une position nuancee, favorable a l'hybride."
Tribune: apprentissage en ligne et autonomie,2,B2,moyen,argument explicite,Quel avantage du numerique est cite ?,"[""Il supprime tout effort personnel"", ""Il reduit automatiquement le cout des etudes"", ""Il offre une flexibilite utile"", ""Il garantit la reussite de tous""]",2,La flexibilite est explicitement mentionnee.
Tribune: apprentissage en ligne et autonomie,3,B2,moyen,inference,Pourquoi l'auteur insiste-t-il sur l'autonomie ?,"[""Parce que c'est la seule competence utile"", ""Parce qu'elle conditionne la reussite en ligne"", ""Parce qu'elle remplace les enseignants"", ""Parce qu'elle est facile a developper""]",1,Le texte lie l'autonomie a la capacite de tenir l'effort.
Tribune: apprentissage en ligne et autonomie,4,B2,moyen,coherence argumentative,"Dans le texte, 'Cette promesse merite d'etre nuancee' signifie que...","[""la promesse est totalement fausse"", ""la promesse doit etre analysee avec prudence"", ""la promesse est interdite"", ""la promesse concerne uniquement les professeurs""]",1,Nuancer signifie eviter une vision simpliste.
Tribune: apprentissage en ligne et autonomie,5,B2,difficile,relation logique,Le role de 'Cependant' au debut du 2e paragraphe est de...,"[""ajouter un exemple"", ""introduire une opposition"", ""annoncer une conclusion definitive"", ""donner une definition""]",1,Connecteur d'opposition entre avantage et limite.
