titre,tache_tcf,niveau,consigne,min_mots,max_mots
Debat: apprentissage en ligne,Tache 3,B2,"Vous participez a un debat sur l'apprentissage en ligne. Donnez votre opinion en presentant avantages, limites et solutions.",180,220
Reseaux sociaux et concentration,Tache 3,B2,Discutez l'impact des reseaux sociaux sur la concentration des etudiants et proposez des recommandations.,180,220
Travail et etudes,Tache 3,B2,Est-il utile de travailler pendant ses etudes? Defendez votre position avec des exemples.,180,220
Message a l'administration,Tache 1,B1,Ecrivez un message formel pour demander le report d'un examen.,60,120
Demande de stage,Tache 1,B1,Redigez un message pour solliciter un stage dans une entreprise locale.,60,120
Invitation officielle,Tache 1,B1,Invitez un intervenant a participer a une conference universitaire.,60,120
Recit: un succes personnel,Tache 2,B1,Racontez une situation ou vous avez atteint un objectif difficile.,120,160
Recit: un echec utile,Tache 2,B1,Racontez un echec qui vous a aide a progresser dans vos etudes.,120,160
Recit: premiere presentation,Tache 2,B1,Decrivez votre premiere presentation orale en francais et ce que vous avez appris.,120,160
Ville ideale pour etudier,Tache 3,B2,Decrivez les criteres d'une ville ideale pour les etudiants internationaux.,180,220
Lecture papier ou numerique,Tache 3,B2,Comparez la lecture papier et la lecture numerique et donnez votre preference.,180,220
Discipline et reussite,Tache 3,B2,"Selon vous, la discipline est-elle plus importante que la motivation pour reussir?",180,220
Debat: teletravail et productivite,Tache 3,B2,"Redigez un texte argumentatif sur le theme 'teletravail et productivite'. Presentez avantages, limites et position personnelle.",180,230
Debat: intelligence artificielle et etudes,Tache 3,B2,"Redigez un texte argumentatif sur le theme 'intelligence artificielle et etudes'. Presentez avantages, limites et position personnelle.",180,230
Debat: sport et reussite scolaire,Tache 3,B2,"Redigez un texte argumentatif sur le theme 'sport et reussite scolaire'. Presentez avantages, limites et position personnelle.",180,230
Debat: voyages et ouverture culturelle,Tache 3,B2,"Redigez un texte argumentatif sur le theme 'voyages et ouverture culturelle'. Presentez avantages, limites et position personnelle.",180,230
Debat: reseaux sociaux et information,Tache 3,B2,"Redigez un texte argumentatif sur le theme 'reseaux sociaux et information'. Presentez avantages, limites et position personnelle.",180,230
Debat: lecture obligatoire a l'universite,Tache 3,B2,"Redigez un texte argumentatif sur le theme 'lecture obligatoire a l'universite'. Presentez avantages, limites et position personnelle.",180,230
Debat: benevolat et insertion professionnelle,Tache 3,B2,"Redigez un texte argumentatif sur le theme 'benevolat et insertion professionnelle'. Presentez avantages, limites et position personnelle.",180,230
Debat: ville durable et mobilite etudiante,Tache 3,B2,"Redigez un texte argumentatif sur le theme 'ville durable et mobilite etudiante'. Presentez avantages, limites et position personnelle.",180,230
Debat: cours hybrides a l'universite,Tache 3,B2,"Redigez un texte argumentatif sur le theme 'cours hybrides a l'universite'. Presentez avantages, limites et position personnelle.",180,230
Debat: evaluation continue ou examen final,Tache 3,B2,"Redigez un texte argumentatif sur le theme 'evaluation continue ou examen final'. Presentez avantages, limites et position personnelle.",180,230
